Gene,p_val_high_vs_low,avg_logFC_high_vs_low,pct_1_high_vs_low,pct_2_high_vs_low,p_val_adj_high_vs_low
AC084782.1,0.08219893664858306,-0.002988412016090241,0.001,0.004,1.0
AC005821.2,0.0821989366485854,-0.002988412016090241,0.001,0.004,1.0
GLI1,0.08219893664858774,-0.002988412016090241,0.001,0.004,1.0
CFAP299,0.08219893664859358,-0.002988412016090241,0.001,0.004,1.0
MCIDAS,0.0821989366486076,-0.002988412016090241,0.001,0.004,1.0
AL449403.2,0.08219893664861226,-0.002988412016090241,0.001,0.004,1.0
AC022126.1,0.08219893664861343,-0.002988412016090241,0.001,0.004,1.0
AC103810.2,0.08219893664870338,-0.002988412016090241,0.001,0.004,1.0
KAZALD1,0.08219939489043529,0.008187832022784444,0.03,0.022,1.0
KIAA0100,0.08225673957859417,-0.01335299749968722,0.056,0.069,1.0
ZNF141,0.08232243364860152,-0.010862264737187377,0.03,0.04,1.0
ZBTB49,0.08239316437127651,-0.002625088132408522,0.007,0.01,1.0
RASSF2,0.08241592648442471,-0.0023197517386462493,0.002,0.004,1.0
SELENOI,0.08242567413527052,0.01159390724423267,0.051,0.039,1.0
ZNF485,0.08245367891917937,-0.003950147834413243,0.006,0.011,1.0
PPFIA3,0.08263485176715685,0.00946275014882705,0.035,0.025,1.0
AC108136.1,0.08265854258182102,0.0039963623539433744,0.007,0.003,1.0
LINC01504,0.0827293416136046,-0.005910729477189727,0.008,0.014,1.0
PPP5D1,0.08276608938040514,-0.005916173862629189,0.008,0.014,1.0
MCF2L-AS1,0.08276608938041925,-0.005916173862629189,0.008,0.014,1.0
CCDC171,0.08277526684745107,-0.005921625441433944,0.007,0.013,1.0
AC020659.1,0.08288225916674191,-0.0055613158974031525,0.011,0.017,1.0
ZGPAT,0.08294629759173798,-0.012935896346611894,0.123,0.139,1.0
CRNKL1,0.08295118186514644,0.011101417414556336,0.105,0.096,1.0
AC092171.5,0.08306107717451766,-0.005595244171729615,0.007,0.013,1.0
ZNF667,0.08306107717461209,-0.005595244171729615,0.007,0.013,1.0
TMEM243,0.08306907549096437,-0.004720266459267597,0.078,0.087,1.0
SGMS1-AS1,0.08313057116305123,-0.0077502466320264266,0.021,0.029,1.0
AC005072.1,0.08318397841991657,0.005616902635454597,0.019,0.014,1.0
AL121928.1,0.08323501981692902,-0.0019965582114075714,0.0,0.002,1.0
AL356740.1,0.08323501981693257,-0.0019965582114075714,0.0,0.002,1.0
AC064807.4,0.08323501981693553,-0.0019965582114075714,0.0,0.002,1.0
TAS2R19,0.08323501981694262,-0.0019965582114075714,0.0,0.002,1.0
ADGRA2,0.08323501981694321,-0.0019965582114075714,0.0,0.002,1.0
TARID,0.08323501981694735,-0.0019965582114075714,0.0,0.002,1.0
OXT,0.08323501981696746,-0.0019965582114075714,0.0,0.002,1.0
AC112503.1,0.08323501981696924,-0.0019965582114075714,0.0,0.002,1.0
AC098484.4,0.08323501981697397,-0.0019965582114075714,0.0,0.002,1.0
AC104806.2,0.08323501981697397,-0.0019965582114075714,0.0,0.002,1.0
AC092418.2,0.08323501981697692,-0.0019965582114075714,0.0,0.002,1.0
ALX1,0.0832350198169787,-0.0019965582114075714,0.0,0.002,1.0
ECM2,0.0832350198169787,-0.0019965582114075714,0.0,0.002,1.0
SLC17A1,0.0832350198169793,-0.0019965582114075714,0.0,0.002,1.0
AC107294.3,0.08323501981697988,-0.0019965582114075714,0.0,0.002,1.0
ADORA2A-AS1,0.08323501981698048,-0.0019965582114075714,0.0,0.002,1.0
VAC14-AS1,0.08323501981698106,-0.0019965582114075714,0.0,0.002,1.0
AC096711.2,0.08323501981698757,-0.0019965582114075714,0.0,0.002,1.0
ADAM11,0.08323501981698816,-0.0019965582114075714,0.0,0.002,1.0
AL136980.1,0.0832350198169929,-0.0019965582114075714,0.0,0.002,1.0
AC092053.4,0.08323501981699348,-0.0019965582114075714,0.0,0.002,1.0
AC073389.3,0.08323501981702483,-0.0019965582114075714,0.0,0.002,1.0
AC040173.1,0.08323501981706741,-0.0019965582114075714,0.0,0.002,1.0
NHLH1,0.08323501981707333,-0.0019965582114075714,0.0,0.002,1.0
ALDH1L2,0.08323501981708102,-0.0019965582114075714,0.0,0.002,1.0
IGLV2-11,0.08323501981708398,-0.0019965582114075714,0.0,0.002,1.0
DLG3,0.0833326099433587,0.010471273625311799,0.069,0.06,1.0
ANK2,0.08334249525740338,-0.0049584022548627375,0.004,0.008,1.0
AP5S1,0.08348990209235152,0.007129166912848692,0.045,0.04,1.0
TMEM38B,0.08355272184642665,0.011278949164751653,0.05,0.039,1.0
ATP8A1,0.08378393924401308,0.004326770474875118,0.007,0.004,1.0
CRP,0.08379616689351709,-0.009627106260727325,0.078,0.093,1.0
SGSM3,0.08383594540106293,0.0090328383552373,0.143,0.137,1.0
AC022075.1,0.08383805213514267,0.017859122984040687,0.095,0.079,1.0
SYVN1,0.08389015398211999,0.008718090272551535,0.099,0.092,1.0
NGEF,0.08390408341407675,-0.012650171343611502,0.06,0.074,1.0
AC010331.1,0.08391286681227372,0.005639663727125212,0.013,0.007,1.0
WARS2,0.08393873921902109,-0.006558535055903529,0.043,0.051,1.0
ZNF367,0.08398775368286737,-0.0055900054748728644,0.008,0.013,1.0
CNTN3,0.08407673429273073,-0.004295264237833525,0.004,0.008,1.0
MRPL37,0.084193930799454,-0.025676976430126064,0.296,0.319,1.0
MED9,0.08421333605395671,0.007892537568025059,0.024,0.016,1.0
KLHL22,0.08426173763083777,-0.007796401461493983,0.017,0.025,1.0
USP18,0.08427049552127518,0.00391909004740057,0.053,0.046,1.0
RAB42,0.08427370028160934,-0.0045435742159892455,0.014,0.021,1.0
CNOT8,0.08429939145159347,0.013365583373047343,0.093,0.081,1.0
SLX1A,0.0843694387819464,0.007578535762397982,0.022,0.015,1.0
LOXL2,0.08439508858117416,0.0072629871561467035,0.019,0.012,1.0
GPR37,0.08447534010018364,-0.003908824918218727,0.013,0.017,1.0
ZNF624,0.0845096404652247,-0.004299664617850393,0.004,0.008,1.0
PCDHGA9,0.08450964046524631,-0.004299664617850393,0.004,0.008,1.0
C12orf74,0.08453778733896491,0.0020034471219386053,0.004,0.002,1.0
RPUSD4,0.08456898895997991,-0.01064907910843517,0.048,0.058,1.0
FERMT3,0.08461303452914376,-0.0075162366454639435,0.012,0.019,1.0
TTC38,0.0847965488923939,0.008740180308131222,0.045,0.037,1.0
SLC12A6,0.08480659758102851,0.014126453904919387,0.08,0.065,1.0
ATP6V0A2,0.08495361346548998,-0.008400988203408923,0.021,0.029,1.0
DNAH1,0.08501893570493808,-0.0039731093957167205,0.003,0.007,1.0
AL133445.2,0.08501893570501057,-0.0039731093957167205,0.003,0.007,1.0
NPR1,0.08501893570501057,-0.0039731093957167205,0.003,0.007,1.0
AC139019.1,0.0850189357050299,-0.0039731093957167205,0.003,0.007,1.0
HSPA1L,0.08506694331519071,-0.002977801925960611,0.003,0.006,1.0
ZMAT5,0.08514063670068142,0.016482270115735803,0.115,0.097,1.0
VPS13D,0.08521265487487209,-0.011261183066984773,0.072,0.081,1.0
EMC1,0.0852387319785735,0.010466185880798014,0.069,0.061,1.0
HOXB4,0.08527050946745737,0.006293848604964809,0.014,0.009,1.0
PPAT,0.08530769700146558,-0.008923509051757747,0.033,0.041,1.0
NMNAT1,0.08532044676726266,-0.008118135380496785,0.017,0.026,1.0
SLC38A9,0.08533433619323806,-0.006341481396140207,0.034,0.041,1.0
MED18,0.08533799122883517,0.007872631504419227,0.028,0.021,1.0
FRY-AS1,0.08548939339171961,0.005965827848126572,0.014,0.008,1.0
SPIRE1,0.0856616505053649,-0.006380702416869052,0.03,0.037,1.0
WDHD1,0.08568733846679445,-0.008717368736618363,0.021,0.03,1.0
PDSS2,0.08568899606809034,-0.008731761515338297,0.021,0.03,1.0
LAIR1,0.0856899311891178,0.0046566310361619715,0.007,0.004,1.0
ZNF787,0.08570016053651822,0.009022918020623494,0.051,0.043,1.0
C2CD4D,0.085710516428129,-0.004593517510901521,0.009,0.014,1.0
AC245452.1,0.08571051642816799,-0.004593517510901521,0.009,0.014,1.0
PPID,0.08573691390284296,-0.009600817242833126,0.107,0.12,1.0
ANGEL1,0.08597077488436443,0.006936790883484601,0.019,0.012,1.0
DNAJB14,0.08603438947674003,-0.017030742693302334,0.12,0.139,1.0
LINC00909,0.08619393422397766,-0.010246780842635334,0.028,0.039,1.0
ADGRL2,0.08619512072394936,-0.0032996255976635554,0.005,0.008,1.0
COPS7B,0.08621291634613445,-0.016129729012010915,0.092,0.108,1.0
FANCC,0.0862625295135535,-0.007130307613021913,0.018,0.026,1.0
ADCY5,0.08626894220812524,-0.0026136285787122446,0.009,0.013,1.0
FBXL8,0.08634015622828868,0.009996486661309235,0.049,0.04,1.0
TTC7A,0.08645633294512217,-0.009539079752116118,0.061,0.072,1.0
MRPS9,0.08650088667235345,-0.011733922348238363,0.103,0.117,1.0
PDLIM2,0.08650635064012752,-0.013924461074232466,0.072,0.087,1.0
MFGE8,0.08652300528489405,-0.016926172997504846,0.197,0.219,1.0
ERCC3,0.08653574942103923,0.010450960758330553,0.072,0.063,1.0
RMDN3,0.08658898494265407,0.007251495457165913,0.15,0.146,1.0
AC108134.2,0.08660810364796398,0.01106691558167992,0.033,0.026,1.0
KIF18B,0.0867070056631572,0.005637482406601797,0.013,0.008,1.0
PPP1R13B,0.08673876429563247,0.009148738215054682,0.033,0.024,1.0
ARL6,0.08674827358837485,-0.0035889081609240744,0.011,0.016,1.0
TMEM222,0.08677278722733407,0.010891946184182433,0.132,0.123,1.0
PHKA2,0.08679184131564188,-0.009613057025181108,0.027,0.037,1.0
TESK1,0.0868297006738826,-0.003515712427688826,0.024,0.028,1.0
PALD1,0.0870330777580133,-0.0016374553643126741,0.005,0.008,1.0
AHDC1,0.08715831749872008,0.011809010697385006,0.094,0.084,1.0
FBXO5,0.0871727200224834,0.002336059797547925,0.021,0.02,1.0
SLC41A3,0.08718602015521411,-0.007323023055891609,0.127,0.139,1.0
PTRH1,0.08727765177804084,-0.015116390153678189,0.133,0.151,1.0
PCNX2,0.08742291287145251,-0.008366166561438362,0.023,0.032,1.0
ACAD9,0.08752412908223241,0.010127902242581366,0.075,0.063,1.0
COG7,0.08754648232034609,-0.0024372189551098156,0.046,0.05,1.0
SIDT2,0.08757678758838602,-0.009025854346490773,0.023,0.032,1.0
LARP1B,0.08760549467046336,-0.012894934953771586,0.101,0.117,1.0
TNFRSF4,0.08768112535910069,-0.005935285953129492,0.005,0.009,1.0
WDPCP,0.08770992995443087,-0.008653061778047234,0.027,0.037,1.0
AL358472.4,0.08777838980171487,-0.009371390996687285,0.021,0.03,1.0
CTBS,0.08782527198071953,0.01197178626313522,0.109,0.099,1.0
TMLHE,0.08783691552217159,0.005211001883147021,0.045,0.042,1.0
NOL11,0.08788848777629558,-0.010937788439442792,0.071,0.084,1.0
GADD45G,0.0879244538226516,0.018400662301354453,0.07,0.057,1.0
FUCA2,0.08808384128740257,-0.009912039546192922,0.104,0.118,1.0
AC024940.1,0.08814418130770431,0.006604659285102472,0.019,0.013,1.0
LINC01309,0.08820138419247318,-9.719154319973895E-4,0.007,0.009,1.0
NAA50,0.08824517323243718,-0.009736521436721407,0.21,0.227,1.0
