Gene,p_adj_val,chi_squared,high_stem_low_stem_log2FC,Rank,contrast
SMPD3,2.8826300133377345E-16,67.30837271295604,0.039323732467667155,67.30837271295604,High_Stem_Low_Stem
GPR35,1.3218647570076054E-276,1266.9474552195425,-0.2799729541507858,-1266.9474552195425,High_Stem_Low_Stem
POU2F2,1.1291040381482742E-56,252.69678903558452,-0.1412533791358813,-252.69678903558452,High_Stem_Low_Stem
LIMS2,2.0398404861209806E-48,214.71129364042645,-0.062164268759327436,-214.71129364042645,High_Stem_Low_Stem
NFKBID,0.8945813740353774,0.018570699394331314,-0.03088304270583503,-0.018570699394331314,High_Stem_Low_Stem
LILRB3,4.2264971225261E-93,420.40050599400274,-0.04498490630807539,-420.40050599400274,High_Stem_Low_Stem
MYOCOS,7.507932335090493E-249,1138.791652870641,0.012716897501323772,1138.791652870641,High_Stem_Low_Stem
CALML3-AS1,3.548794306660515E-241,1103.377129052009,-0.027998893221749577,-1103.377129052009,High_Stem_Low_Stem
CACNA1F,3.535228182172648E-21,89.72056498371603,-0.031133529984272455,-89.72056498371603,High_Stem_Low_Stem
AC106779.1,1.416079901197264E-101,459.4437860977523,0.010025056271115534,459.4437860977523,High_Stem_Low_Stem
SLC7A2,2.1538589588127344E-303,1390.6811748167092,-0.02354519135857729,-1390.6811748167092,High_Stem_Low_Stem
CIDEB,2.1711793235461378E-6,22.665075956556393,-0.0712303892087992,-22.665075956556393,High_Stem_Low_Stem
IFITM1,8.017269519273731E-38,166.02305501064984,-0.13382432389950416,-166.02305501064984,High_Stem_Low_Stem
GLIS3,1.1084569165172396E-64,289.54811627257004,0.21720566945852351,289.54811627257004,High_Stem_Low_Stem
ZNF117,0.24667453184837954,1.3850338027768885,-0.1951917238755391,-1.3850338027768885,High_Stem_Low_Stem
ABI3,0.0,2038.7488455580315,-0.5081811483449994,-2038.7488455580315,High_Stem_Low_Stem
F5,4.7381544892926265E-265,1213.5719270207192,0.05844062382803685,1213.5719270207192,High_Stem_Low_Stem
AL109840.2,1.6568914836741391E-46,205.92837934865747,-0.019692705443596862,-205.92837934865747,High_Stem_Low_Stem
AL606807.1,1.820447502347246E-157,717.1114611807025,-0.03446879107759733,-717.1114611807025,High_Stem_Low_Stem
SLC7A5,8.752429023890775E-191,870.8282906861059,-0.46465656484966444,-870.8282906861059,High_Stem_Low_Stem
PRKCQ-AS1,7.556613605819192E-248,1134.1553051130504,-0.28253291579576095,-1134.1553051130504,High_Stem_Low_Stem
PCDH7,0.13178196002929873,2.3295806658315996,-0.1255754924933754,-2.3295806658315996,High_Stem_Low_Stem
AFAP1L2,2.1176857292479024E-13,54.266989459654724,-0.35487074982798666,-54.266989459654724,High_Stem_Low_Stem
DNAJC18,9.060983577971522E-10,37.82261967119848,-0.080814191638553,-37.82261967119848,High_Stem_Low_Stem
ADAM28,1.3069833929134938E-4,14.814012495073257,0.002265825973866903,14.814012495073257,High_Stem_Low_Stem
TPP1,0.28882687136750745,1.1627432111745293,-0.032453498075430465,-1.1627432111745293,High_Stem_Low_Stem
TRIM29,1.2405300362140184E-64,289.3219792498712,0.5427460523579308,289.3219792498712,High_Stem_Low_Stem
EHF,1.6260656446046006E-30,132.491124699387,0.3603539274689622,132.491124699387,High_Stem_Low_Stem
CNOT6L,0.0,1669.156202461807,-0.5976218009518873,-1669.156202461807,High_Stem_Low_Stem
NAMPT,6.815754546680136E-5,16.052385121249245,0.14711114536219655,16.052385121249245,High_Stem_Low_Stem
SGO2,8.738411768002586E-187,852.3814736165477,0.22328481890793278,852.3814736165477,High_Stem_Low_Stem
LINC00158,3.000585370216719E-272,1246.825575489911,-0.048668799901989676,-1246.825575489911,High_Stem_Low_Stem
FLT3LG,2.9009951521814806E-179,817.6767158303046,-0.21084957277753955,-817.6767158303046,High_Stem_Low_Stem
MBOAT2,1.8050311342492954E-61,274.7655580529936,0.4741901513368191,274.7655580529936,High_Stem_Low_Stem
NFATC1,0.04321057005994761,4.172612948819733,-0.09161198448430541,-4.172612948819733,High_Stem_Low_Stem
SFRP1,2.960598236267822E-134,610.0817813124304,-0.10605325297241736,-610.0817813124304,High_Stem_Low_Stem
SLC15A4,1.0489409121718974E-51,229.84287711694924,-0.09496384202166915,-229.84287711694924,High_Stem_Low_Stem
AC009570.2,1.05360566254739E-116,529.1739573215091,0.01067156562185405,529.1739573215091,High_Stem_Low_Stem
PIH1D3,1.2986374178425282E-46,206.41485531153012,-0.03917604107912512,-206.41485531153012,High_Stem_Low_Stem
PPFIA2,0.8280713560777823,0.050130913838074775,3.453233404094348E-4,0.050130913838074775,High_Stem_Low_Stem
AC020651.2,3.7999520789041194E-98,443.64272893653106,0.017485063962989208,443.64272893653106,High_Stem_Low_Stem
SMTN,1.47041756396463E-190,869.7878330168751,0.044643471521299175,869.7878330168751,High_Stem_Low_Stem
GPR55,0.0,2075.506391825882,-0.06954499286413737,-2075.506391825882,High_Stem_Low_Stem
CLNK,1.208559527306275E-80,363.0384487149422,-0.0365866440430656,-363.0384487149422,High_Stem_Low_Stem
CITED1,1.2660225042983832E-305,1400.9630896990493,0.02224917442659717,1400.9630896990493,High_Stem_Low_Stem
LINC01268,0.001428336416142538,10.316725460274029,-0.3570873433757768,-10.316725460274029,High_Stem_Low_Stem
RASGRP3,1.2213313436849729E-89,404.45726918588844,0.031394408273365454,404.45726918588844,High_Stem_Low_Stem
RNF152,1.0338093292478505E-57,257.47715361738665,-0.02120917631142391,-257.47715361738665,High_Stem_Low_Stem
CHST9,2.6946578891796653E-76,343.0130187914692,0.1800647101485354,343.0130187914692,High_Stem_Low_Stem
SIGLEC10,2.5286183938679486E-28,122.44237350509866,0.0025066876566592067,122.44237350509866,High_Stem_Low_Stem
CPNE5,4.86663870042257E-50,222.17415996394993,-0.005341180101046568,-222.17415996394993,High_Stem_Low_Stem
AC130888.1,6.371015782724113E-48,212.43723169566147,-0.03147855568726343,-212.43723169566147,High_Stem_Low_Stem
ADAMTS2,4.707173411572878E-159,724.4341616935017,-0.0021505372063639894,-724.4341616935017,High_Stem_Low_Stem
CHORDC1,6.100186614943036E-45,198.72592828865163,-0.25138667960936584,-198.72592828865163,High_Stem_Low_Stem
ZNF750,5.4647396779896E-58,258.75181688637167,0.5832552339149427,258.75181688637167,High_Stem_Low_Stem
AC026803.3,1.030156723805667E-13,55.68727467933786,-0.021921710109909297,-55.68727467933786,High_Stem_Low_Stem
TMEM71,0.0,1985.9253324660895,-0.2635548052365329,-1985.9253324660895,High_Stem_Low_Stem
SYNM,2.8335524633102036E-4,13.349376040900097,-0.05256958403197588,-13.349376040900097,High_Stem_Low_Stem
PRRG4,1.1537753494031349E-49,220.45116995669378,0.3483400136421145,220.45116995669378,High_Stem_Low_Stem
WAKMAR2,5.218844963174701E-194,885.7157965842125,-0.18256473057571873,-885.7157965842125,High_Stem_Low_Stem
ATAD2,1.2518286631081697E-47,211.08796128484755,-0.013208716443690809,-211.08796128484755,High_Stem_Low_Stem
TCEAL7,3.714450582741825E-72,323.9532268646544,-6.204006671183676E-5,-323.9532268646544,High_Stem_Low_Stem
SAMD9L,0.0010943379718197344,10.812091296313156,-0.13211690896585648,-10.812091296313156,High_Stem_Low_Stem
PDE3B,2.8150126130749007E-255,1168.4444736698242,-0.18243439570815495,-1168.4444736698242,High_Stem_Low_Stem
CXorf21,9.934926567715229E-253,1156.6840766571222,-0.014987576422630322,-1156.6840766571222,High_Stem_Low_Stem
NTF3,1.71973880377069E-14,59.22012957651532,-0.04416417181275611,-59.22012957651532,High_Stem_Low_Stem
ZNF503,4.752994544252829E-27,116.59911112394548,-0.08511704710638299,-116.59911112394548,High_Stem_Low_Stem
FAM111B,1.1768345933421847E-257,1179.4262925629046,0.04241613667998678,1179.4262925629046,High_Stem_Low_Stem
CA12,9.534510812640325E-55,243.82729664519502,0.10289520590335986,243.82729664519502,High_Stem_Low_Stem
LRRIQ1,1.797938063618833E-18,77.36224996165765,0.029261721253659178,77.36224996165765,High_Stem_Low_Stem
ARID3A,6.818700140000157E-126,571.5185006162028,-0.1904476679235057,-571.5185006162028,High_Stem_Low_Stem
AC037198.1,5.816076027164135E-116,525.7562248895556,-0.04342616635921966,-525.7562248895556,High_Stem_Low_Stem
AL139246.5,1.0627922159844136E-98,446.19536924282147,0.0619675829390186,446.19536924282147,High_Stem_Low_Stem
U91324.1,6.728403667566678E-30,129.666000103829,-0.04760491652194125,-129.666000103829,High_Stem_Low_Stem
